MATCHED GROUPS GUESTS
<vorname> <nachname> (Host),"Straße 4, 81669 München",Max. Guests: 4,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
,,,
,,,
<vorname> <nachname> (Host),"Straße 4, 81541 München",Max. Guests: 4,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
,,,
,,,
<vorname> <nachname> (Host),"Straße 4, 80802 München",Max. Guests: 4,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
,,,
,,,
<vorname> <nachname> (Host),"Straße 4, 80336 München",Max. Guests: 4,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
,,,
,,,
<vorname> <nachname> (Host),"Straße 4, 81377 München",Max. Guests: 4,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
,,,
,,,
<vorname> <nachname> (Host),"Straße 4, 80809 München",Max. Guests: 4,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
,,,
,,,
<vorname> <nachname> (Host),"Straße 4, 81827 München",Max. Guests: 4,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
,,,
,,,
<vorname> <nachname> (Host),"Straße 4, 81545 München",Max. Guests: 4,<mail_address>,<phone_number>
<vorname> <nachname> (Guest),Allergies: <allergies>, ,<mail_address>,<phone_number>
